1,0.41,2.26
2,0.42,2.28
3,0.42,2.28
4,0.42,2.28
5,0.41,2.27
6,0.42,2.28
7,0.41,2.27
8,0.41,2.27
9,0.41,2.26
10,0.42,2.28
11,0.41,2.26
12,0.42,2.29
13,0.42,2.28
14,0.41,2.26
15,0.42,2.28
16,0.41,2.26
17,0.41,2.27
18,0.41,2.26
19,0.41,2.27
20,0.40,2.25
21,0.41,2.26
22,0.40,2.24
23,0.41,2.27
24,0.41,2.27
25,0.41,2.26
26,0.41,2.27
27,0.41,2.26
28,0.41,2.27
29,0.41,2.27
30,0.42,2.28
31,0.41,2.26
32,0.41,2.27
33,0.41,2.26
34,0.41,2.27
35,0.42,2.28
36,0.41,2.27
37,0.41,2.27
38,0.40,2.24
39,0.41,2.27
40,0.41,2.27
41,0.41,2.26
42,0.40,2.23
43,0.41,2.26
44,0.40,2.24
45,0.40,2.23
46,0.40,2.25
47,0.41,2.26
48,0.41,2.25
49,0.40,2.23
50,0.40,2.22
51,0.40,2.25
52,0.41,2.26
53,0.40,2.24
54,0.40,2.24
55,0.40,2.24
56,0.40,2.23
57,0.40,2.23
58,0.40,2.23
59,0.39,2.20
60,0.40,2.22
61,0.19,1.56
62,0.15,1.35
63,0.39,2.21
64,0.39,2.21
65,0.39,2.21
66,0.39,2.22
67,0.39,2.21
68,0.39,2.20
69,0.39,2.21
70,0.39,2.21
71,0.39,2.21
72,0.39,2.19
73,0.39,2.21
74,0.39,2.20
75,0.39,2.21
76,0.39,2.20
77,0.39,2.20
78,0.39,2.21
79,0.39,2.21
80,0.39,2.21
81,0.38,2.17
82,0.39,2.21
83,0.39,2.20
84,0.38,2.17
85,0.39,2.20
86,0.39,2.20
87,0.39,2.20
88,0.39,2.20
89,0.39,2.19
90,0.39,2.19
91,0.39,2.20
92,0.38,2.19
93,0.39,2.21
94,0.38,2.19
95,0.39,2.20
96,0.40,2.22
97,0.39,2.21
98,0.38,2.19
99,0.39,2.21
100,0.39,2.21
101,0.39,2.19
102,0.39,2.21
103,0.39,2.20
104,0.38,2.19
105,0.39,2.21
106,0.39,2.22
107,0.39,2.22
108,0.39,2.21
109,0.38,2.18
110,0.39,2.20
111,0.39,2.22
112,0.39,2.22
113,0.38,2.19
114,0.39,2.22
115,0.39,2.20
116,0.39,2.20
117,0.39,2.20
118,0.39,2.21
119,0.39,2.20
120,0.38,2.19
121,0.38,2.19
122,0.39,2.19
123,0.39,2.20
124,0.39,2.20
125,0.39,2.20
126,0.38,2.18
127,0.39,2.19
128,0.38,2.17
129,0.39,2.20
130,0.38,2.17
131,0.39,2.19
132,0.37,2.16
133,0.38,2.19
134,0.38,2.18
135,0.37,2.16
136,0.37,2.16
137,0.38,2.17
138,0.38,2.18
139,0.38,2.18
140,0.38,2.17
141,0.38,2.18
142,0.38,2.19
143,0.38,2.19
144,0.39,2.19
145,0.38,2.18
146,0.38,2.19
147,0.39,2.19
148,0.39,2.20
149,0.38,2.18
150,0.39,2.21
151,0.39,2.21
152,0.39,2.22
153,0.40,2.23
154,0.39,2.21
155,0.40,2.22
156,0.40,2.23
157,0.40,2.22
158,0.40,2.23
159,0.40,2.24
160,0.40,2.23
161,0.40,2.24
162,0.39,2.21
163,0.39,2.21
164,0.40,2.24
165,0.40,2.24
166,0.40,2.24
167,0.40,2.25
168,0.39,2.21
169,0.40,2.23
170,0.41,2.25
171,0.40,2.24
172,0.40,2.25
173,0.40,2.24
174,0.41,2.26
175,0.41,2.27
176,0.41,2.26
177,0.41,2.25
178,0.41,2.26
179,0.41,2.25
180,0.41,2.26
181,0.41,2.26
182,0.41,2.26
183,0.41,2.25
184,0.40,2.22
185,0.40,2.24
186,0.41,2.25
187,0.41,2.26
188,0.39,2.22
189,0.41,2.25
190,0.41,2.25
191,0.41,2.26
192,0.41,2.25
193,0.41,2.26
194,0.41,2.25
195,0.41,2.26
196,0.41,2.26
197,0.41,2.26
198,0.40,2.25
199,0.41,2.26
200,0.41,2.26
201,0.41,2.27
202,0.40,2.24
203,0.41,2.27
204,0.41,2.25
205,0.40,2.24
206,0.42,2.28
207,0.42,2.28
208,0.42,2.29
209,0.41,2.27
210,0.42,2.29
